File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17060.java.tokens,0.8823529411764706,45,18
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17062.java.tokens,0.7872340425531915,152,48
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17056.java.tokens,0.6242997198879552,94,35
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17059.java.tokens,0.6714444444444445,506,176
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17054.java.tokens,0.6310017662506682,1759,684
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16926.java.tokens,0.8611111111111112,64,28
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/extensions/16891.java.tokens,0.7833333333333333,116,41
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/extensions/16888.java.tokens,0.6542919799498746,239,77
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/extensions/16889.java.tokens,0.7015151515151515,145,45
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/extensions/16890.java.tokens,0.611231884057971,124,47
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/extensions/16892.java.tokens,1.0,5,2
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16905.java.tokens,0.5757222222222222,585,201
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16907.java.tokens,1.0,5,2
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16894.java.tokens,0.5882352941176471,62,18
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16901.java.tokens,0.875,26,9
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16896.java.tokens,0.8859649122807017,111,39
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16899.java.tokens,0.7720588235294118,101,35
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16903.java.tokens,0.55007215007215,160,56
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16900.java.tokens,0.6,19,6
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16895.java.tokens,0.469859943977591,504,171
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16902.java.tokens,0.7680201911909229,1296,534
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16898.java.tokens,0.6358465608465608,427,154
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16897.java.tokens,0.5751192910702113,436,164
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16904.java.tokens,0.7878787878787878,48,23
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16893.java.tokens,0.7646369176737939,1235,462
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/framework/16906.java.tokens,0.6008449202247652,1219,388
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/runner/16910.java.tokens,0.7692307692307693,50,14
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/runner/16909.java.tokens,0.5798611111111112,83,37
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/runner/16908.java.tokens,0.523769927349103,1471,462
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/runner/16911.java.tokens,1.0,5,2
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/junit/textui/16914.java.tokens,1.0,5,2
