File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16459.java.tokens,0.7666666666666667,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16465.java.tokens,0.8717948717948718,14,14
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16468.java.tokens,0.7333333333333333,11,11
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16467.java.tokens,0.7333333333333333,11,11
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16461.java.tokens,0.8533333333333333,26,26
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16463.java.tokens,0.7142857142857143,8,8
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16448.java.tokens,0.7196969696969697,34,34
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16447.java.tokens,0.7534722222222222,49,49
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/exceptions/16511.java.tokens,0.925,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/exceptions/16510.java.tokens,0.925,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/exceptions/16512.java.tokens,1.0,4,4
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16435.java.tokens,0.9558823529411765,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16457.java.tokens,0.9333333333333333,16,16
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16458.java.tokens,0.9333333333333333,16,16
